	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
PLD3	901	580	1744	2343
PLD6	72	41	100	146
PLEC	162	83	225	403
PLEKHA1	58	61	176	225
PLEKHA2	53	50	108	132
PLEKHA3	71	35	106	176
PLEKHA5	158	107	293	410
PLEKHA7	89	45	135	209
PLEKHA8	37	40	72	95
PLEKHB2	261	170	463	682
PLEKHF2	49	33	83	96
PLEKHG1	68	40	148	187
PLEKHG2	190	123	313	434
PLEKHG3	92	74	198	276
PLEKHG4	50	45	97	134
PLEKHG5	25	17	40	52
PLEKHH1	40	40	64	136
PLEKHH2	46	22	77	113
PLEKHH3	32	15	51	95
PLEKHJ1	133	63	217	326
PLEKHM1	65	40	133	161
PLEKHM2	126	95	275	435
PLEKHM3	53	43	104	138
PLEKHO1	44	25	86	101
PLEKHO2	19	13	22	48
PLGRKT	62	62	125	172
PLIN2	1	0	2	2
PLIN3	178	107	325	426
PLK1	1261	799	2083	3152
PLK1S1	64	45	148	174
PLK2	77	58	105	128
PLK4	112	89	161	150
PLOD1	397	229	772	1133
PLOD2	267	188	621	735
PLOD3	209	148	398	597
PLRG1	701	514	1242	1669
PLS1	279	231	623	783
PLS3	3142	2281	5975	7404
PLSCR1	209	149	362	505
PLTP	4	1	9	8
PLXDC2	30	11	37	56
PLXNA1	179	114	341	493
PLXNA2	42	18	60	75
PLXNA3	102	63	171	254
PLXNB1	34	21	51	85
PLXNB2	484	291	776	1230
PLXND1	52	41	114	168
PM20D2	462	347	941	1279
PMAIP1	469	336	834	909
PMF1-BGLAP	265	161	509	639
PMFBP1	2	0	0	1
PML	185	124	282	464
PMM1	85	62	193	304
PMM2	70	40	120	157
PMP22	45	38	83	180
PMPCA	1150	801	1854	2863
PMPCB	1260	933	2631	3330
PMS1	179	120	364	434
PMS2	190	129	320	417
PMVK	130	102	278	382
PNISR	529	446	783	1054
PNKD	116	103	277	333
PNKP	55	37	108	145
PNMA1	201	169	510	819
PNMA2	208	124	441	619
PNMA6C	51	29	72	100
PNMAL1	0	0	3	1
PNN	770	584	1222	1836
PNO1	174	149	402	555
PNP	620	425	1149	1535
PNPLA2	436	319	797	1080
PNPLA3	29	19	62	81
PNPLA4	0	0	0	0
PNPLA6	77	51	151	262
PNPLA8	157	126	255	346
PNPO	229	167	409	573
PNPT1	580	388	881	1259
PNRC1	302	228	322	529
PNRC2	135	102	109	107
POC1A	96	79	203	295
POC5	143	103	217	310
PODXL	144	117	319	455
PODXL2	288	180	612	910
POFUT1	152	116	314	427
POFUT2	66	42	124	208
POGK	159	122	279	427
POGLUT1	54	32	85	133
POGZ	459	325	947	1177
POLA1	754	527	1246	1825
POLA2	483	340	740	1067
POLB	91	69	230	324
POLD1	378	246	710	1047
POLD2	715	555	1164	1835
POLD3	172	126	326	388
POLDIP2	368	285	773	1020
POLDIP3	432	292	870	1284
POLE	914	666	1750	2600
POLE2	139	135	391	444
POLE3	189	112	314	471
POLE4	109	80	149	295
POLG	199	135	288	477
POLG2	46	32	76	135
POLH	159	145	221	329
POLI	46	44	109	82
POLK	169	144	297	338
POLL	70	54	148	193
POLM	38	24	74	112
POLN	13	5	16	23
POLQ	190	124	326	487
POLR1A	593	476	861	1372
POLR1B	416	263	723	1047
POLR1C	424	301	767	1122
POLR1D	57	46	114	149
POLR1E	212	175	367	568
POLR2A	2205	1538	3104	5120
POLR2B	1993	1420	3151	4041
POLR2C	427	319	886	1198
POLR2D	219	145	412	478
POLR2E	841	555	1372	1850
POLR2F	488	293	835	1362
POLR2G	473	386	934	1281
POLR2H	324	233	632	943
POLR2I	361	258	893	1071
POLR2J	521	453	1138	1233
POLR2J2	418	360	992	1248
POLR2J3	685	599	1522	1702
POLR2K	163	140	370	454
POLR2L	435	338	647	1086
POLR3A	722	441	1052	1496
POLR3B	397	295	576	879
POLR3C	350	293	614	973
POLR3D	123	90	277	435
POLR3E	148	102	278	429
POLR3F	201	167	427	597
POLR3G	79	45	172	180
POLR3GL	22	18	55	66
POLR3H	173	119	334	456
POLR3K	344	250	512	866
POLRMT	257	179	429	709
POM121	508	324	693	1166
POM121C	407	275	580	970
POMGNT1	62	36	203	292
POMP	1297	973	2418	3275
POMT1	227	129	350	596
POMT2	48	32	67	154
POMZP3	72	29	103	168
PON2	149	121	342	450
POP1	261	215	412	652
POP4	765	510	1248	1779
POP5	165	139	335	451
POP7	266	170	415	707
POPDC3	8	8	11	30
POR	269	180	454	699
PORCN	19	7	28	44
POT1	141	107	269	282
POTEE	1618	1193	3356	4808
POTEF	1534	1138	3267	4493
POU2F1	196	135	334	439
POU3F2	99	80	177	269
POU3F3	22	10	46	41
POU4F1	13	7	22	41
PPA1	2547	1972	5881	7641
PPA2	318	212	712	987
PPAN-P2RY11	567	361	806	1352
PPAP2A	38	31	86	93
PPAP2B	63	36	127	192
PPAPDC1B	42	35	39	84
PPARA	4	1	19	15
PPARD	42	21	42	62
PPARG	61	47	142	193
PPARGC1B	61	68	115	207
PPAT	655	490	1111	1638
PPCDC	68	56	112	162
PPCS	140	79	234	317
PPDPF	181	131	454	664
PPFIA1	224	158	529	683
PPFIA2	13	7	26	26
PPFIA3	39	13	51	74
PPFIA4	0	1	2	1
PPFIBP1	155	121	324	437
PPFIBP2	6	2	12	13
PPHLN1	585	485	1087	1275
PPIA	12089	8776	20855	33187
PPIAL4B	5595	4365	12585	15864
PPIAL4D	1945	1498	4278	5478
PPIAL4E	1821	1439	4169	5171
PPIAL4F	1945	1498	4278	5478
PPIAL4G	2533	1817	5034	6486
PPIB	1349	838	2560	4196
PPIC	255	163	489	766
PPID	299	235	756	927
PPIE	453	343	918	1131
PPIF	969	755	1822	2907
PPIG	514	439	753	1086
PPIH	377	238	574	954
PPIL1	322	313	628	852
PPIL2	272	191	481	673
PPIL3	40	33	85	134
PPIL4	520	443	942	1403
PPIP5K1	153	108	250	359
PPIP5K2	256	210	486	682
PPM1A	140	81	283	386
PPM1B	181	113	265	394
PPM1D	254	174	411	620
PPM1E	195	144	348	471
PPM1F	209	155	430	581
PPM1G	948	700	2006	2811
PPM1H	42	33	105	131
PPM1K	69	41	100	213
PPM1L	86	52	165	207
PPM1M	8	7	16	31
PPME1	359	251	636	993
PPOX	59	41	128	163
PPP1CA	742	539	1585	2339
PPP1CB	687	541	1251	1906
PPP1CC	1108	874	2618	3615
PPP1R10	690	462	845	1433
PPP1R11	95	67	127	230
PPP1R12A	753	590	1379	1727
PPP1R12B	21	12	39	34
PPP1R12C	31	28	74	86
PPP1R13B	126	102	210	314
PPP1R14B	111	68	217	369
PPP1R14C	85	48	162	248
PPP1R15A	54	58	46	63
PPP1R15B	389	235	410	581
PPP1R16A	16	6	31	19
PPP1R18	23	12	40	94
PPP1R2	267	194	527	670
PPP1R21	41	49	128	134
PPP1R26	55	33	85	155
PPP1R35	99	75	201	381
PPP1R37	39	21	56	84
PPP1R3B	39	32	59	84
PPP1R3F	19	5	26	45
PPP1R7	529	416	1046	1352
PPP1R8	384	241	602	758
PPP1R9A	88	57	125	160
PPP1R9B	102	69	199	323
PPP2CB	289	233	552	759
PPP2R1A	2044	1444	3956	5823
PPP2R1B	422	317	792	1068
PPP2R2D	73	53	145	183
PPP2R3A	63	46	131	147
PPP2R3B	78	76	228	364
PPP2R3C	91	54	161	228
PPP2R4	503	328	950	1184
PPP2R5A	72	44	152	175
PPP2R5B	13	10	18	31
PPP2R5C	538	455	1104	1311
PPP2R5D	472	326	878	1196
PPP2R5E	229	175	489	584
PPP3CA	213	157	505	685
PPP3CB	200	159	515	813
PPP3CC	69	40	137	162
PPP3R1	360	279	560	846
PPP4C	755	496	1424	1917
PPP4R1	260	166	498	699
PPP4R2	342	266	689	979
PPP4R4	31	39	75	76
PPP5C	805	545	1564	2126
PPP5D1	37	28	89	141
PPP6C	465	331	953	1248
PPP6R1	406	281	676	1026
PPP6R2	87	48	180	262
PPP6R3	552	410	1087	1492
PPRC1	510	365	715	1068
PPT1	656	419	1212	1892
PPT2	139	102	208	375
PPTC7	76	54	184	235
PPWD1	274	199	460	594
PQBP1	404	319	733	1136
PQLC1	33	12	57	62
PQLC2	83	47	147	235
PRADC1	25	12	42	41
PRAME	148	103	257	387
PRC1	983	653	1672	2297
PRCC	410	323	653	1137
PRCP	368	209	709	922
PRDM10	79	45	127	143
PRDM11	4	9	17	22
PRDM15	81	48	101	153
PRDM16	61	40	65	128
PRDM2	258	173	296	488
PRDM4	115	72	241	296
PRDM5	18	10	37	43
PRDM6	54	48	81	138
PRDX1	6941	5016	10901	17518
PRDX2	1984	1304	3973	6198
PRDX3	2670	1886	5581	7331
PRDX4	1131	725	2382	3088
PRDX5	348	243	629	901
PRDX6	1423	1016	2773	4024
PREB	176	116	346	525
PRELID1	503	340	1202	1665
PRELID2	25	25	54	67
PREP	630	395	1140	1477
PREPL	513	387	931	1222
PREX1	29	15	79	86
PREX2	24	24	87	82
PRICKLE1	112	76	199	269
PRICKLE3	36	26	94	126
PRIM1	420	330	1059	1166
PRIM2	377	323	761	905
PRKAA1	464	285	702	990
PRKAA2	183	151	443	637
PRKAB1	205	137	330	436
PRKAB2	37	21	79	101
PRKACA	435	364	1060	1513
PRKACB	91	63	179	215
PRKAG1	304	247	656	950
PRKAG2	41	31	73	121
PRKAR1A	1375	1019	2323	3540
PRKAR1B	149	108	337	478
PRKAR2A	248	167	475	642
PRKAR2B	203	162	497	556
PRKCA	183	147	414	478
PRKCD	128	117	351	438
PRKCE	23	11	32	50
PRKCH	63	54	168	212
PRKCI	291	212	608	747
PRKCQ	75	47	116	139
PRKCSH	2003	1244	4428	6898
PRKCZ	74	60	184	249
PRKD1	115	81	195	273
PRKD2	117	95	201	304
PRKD3	167	118	342	439
PRKDC	9339	7027	15923	21226
PRKG1	89	66	175	254
PRKRA	144	115	344	422
PRKRIP1	107	74	150	249
PRKRIR	140	102	266	313
PRKX	0	0	1	2
PRMT1	1490	1014	2608	4150
PRMT10	128	103	256	301
PRMT2	83	43	167	265
PRMT3	237	174	441	571
PRMT5	1114	818	1915	2984
PRMT6	121	79	169	281
PRMT7	227	174	375	574
PRNP	275	220	441	705
PROCR	138	88	260	342
PROS1	80	50	187	210
PROSC	174	126	361	509
PROSER1	229	143	517	683
PROSER2	75	34	138	230
PRPF18	176	155	435	523
PRPF19	1491	1094	2771	3772
PRPF3	398	326	723	1113
PRPF31	349	255	666	1007
PRPF38A	646	484	1223	1773
PRPF38B	395	300	643	1015
PRPF39	169	95	305	383
PRPF4	365	245	579	836
PRPF40A	1463	1138	2626	3286
PRPF40B	20	20	57	46
PRPF4B	785	629	1312	1737
PRPF6	1021	744	1644	2525
PRPF8	8149	5768	13630	19683
PRPS1	965	745	1808	2496
PRPS2	211	179	567	803
PRPSAP1	167	104	269	407
PRPSAP2	254	170	461	665
PRR11	208	156	419	608
PRR12	146	91	243	381
PRR13	275	196	533	841
PRR14	53	34	107	161
PRR14L	546	440	1010	1414
PRR22	5	2	3	9
PRR3	123	95	209	285
PRR5-ARHGAP8	110	80	267	328
PRRC1	535	348	858	1114
PRRC2A	1937	1393	2806	4384
PRRC2B	1180	694	1616	2428
PRRC2C	2836	2140	5256	6839
PRRG1	18	13	27	45
PRRG4	23	13	39	61
PRRT3	25	10	34	55
PRSS12	45	34	66	118
PRSS23	108	60	206	325
PRSS53	1	3	3	0
PRTFDC1	0	0	1	3
PRTG	37	25	70	101
PRUNE	121	70	241	280
PRUNE2	60	43	80	81
PRX	3	1	9	17
PSAP	2646	1566	5519	7521
PSAT1	826	612	1572	1904
PSD3	67	51	148	146
PSEN1	169	99	251	385
PSEN2	65	50	132	215
PSENEN	365	297	632	1108
PSIP1	978	869	2055	2748
PSKH1	8	12	24	21
PSMA1	1299	991	2351	3562
PSMA2	2167	1602	4441	5507
PSMA3	1574	1138	3023	4068
PSMA4	1967	1564	3718	4896
PSMA5	1234	853	2184	3075
PSMA6	1312	1044	2600	3406
PSMA7	1239	968	2698	3888
PSMB1	2831	1994	5203	7068
PSMB10	47	34	74	89
PSMB2	1864	1304	3733	4787
PSMB3	1150	740	1796	2691
PSMB4	2186	1346	3886	5939
PSMB5	1071	758	2100	3067
PSMB6	1389	1033	2645	3677
PSMB7	1423	994	2675	3480
PSMC1	1865	1417	3654	5251
PSMC2	1695	1254	3054	4431
PSMC3	1014	745	1727	2959
PSMC3IP	38	18	62	103
PSMC4	2035	1402	3692	5706
PSMC5	1357	1010	2650	3839
PSMC6	862	654	1633	2111
PSMD1	2693	2001	4237	6362
PSMD10	551	411	955	1441
PSMD11	1138	887	2232	3222
PSMD12	1961	1420	3233	4647
PSMD13	593	427	1296	1760
PSMD14	1094	830	1951	2636
PSMD2	1766	1138	3139	4378
PSMD3	1132	799	1854	2803
PSMD4	1433	993	2903	4218
PSMD6	1113	871	2110	2737
PSMD7	826	598	1422	2006
PSMD8	3392	2346	6668	9318
PSMD9	218	143	383	622
PSME1	258	191	521	826
PSME2	250	190	434	682
PSME3	648	472	1173	1678
PSME4	693	441	1136	1419
PSMF1	817	561	1459	2007
PSMG1	565	409	1110	1430
PSMG2	267	261	654	807
PSMG3	62	43	95	173
PSMG4	91	65	205	245
PSPC1	585	451	914	1271
PSPH	113	85	217	260
PSRC1	112	57	200	330
PSTK	42	34	71	90
PSTPIP2	118	77	224	309
PTAR1	53	55	154	220
PTBP1	3215	2274	5497	8169
PTBP2	301	229	603	581
PTBP3	295	202	653	775
PTCD2	53	33	97	121
PTCD3	644	460	1065	1432
PTCH1	75	59	109	142
PTDSS1	360	241	742	1196
PTDSS2	117	89	289	429
PTEN	159	132	263	309
PTER	219	156	339	401
PTGES2	141	108	240	398
PTGES3	2905	2221	5993	8008
PTGES3L-AARSD1	64	59	154	240
PTGFRN	435	289	622	990
PTGR2	115	71	230	250
PTGS2	4	3	11	8
PTK2	209	132	452	614
PTK2B	16	9	16	12
PTK7	296	194	591	840
PTMA	3796	2977	8250	14061
PTMS	145	110	287	698
PTOV1	672	476	1477	2051
PTP4A1	286	257	153	241
PTP4A2	108	89	255	336
PTPDC1	17	14	44	43
PTPLA	67	36	115	153
PTPLAD1	1304	956	2811	3714
PTPLB	155	119	332	523
PTPMT1	123	73	214	264
PTPN1	470	317	767	1070
PTPN11	580	406	1297	1778
PTPN12	110	74	223	294
PTPN13	588	425	941	1339
PTPN14	178	143	424	546
PTPN18	25	15	44	58
PTPN2	111	84	251	346
PTPN21	7	4	25	44
PTPN23	248	164	302	580
PTPN3	78	71	208	226
PTPN4	23	20	54	51
PTPN9	127	85	316	487
PTPRA	110	57	287	363
PTPRD	81	59	160	196
PTPRF	441	248	990	1248
PTPRG	397	259	601	858
PTPRJ	57	30	108	139
PTPRK	262	184	509	696
PTPRM	39	27	80	109
PTPRS	225	156	411	609
PTPRU	99	58	191	243
PTRF	138	104	248	447
PTRH2	199	152	336	490
PTRHD1	131	94	226	358
PTS	176	108	355	461
PTTG1	959	725	2197	2672
PTTG1IP	274	165	387	677
PUF60	963	687	1732	2555
PUM1	1159	747	1622	2190
PUM2	325	273	652	806
PURA	120	111	273	446
PURB	132	110	247	434
PUS1	231	163	357	634
PUS10	12	11	37	43
PUS3	117	67	149	195
PUS7	485	372	925	1101
PUS7L	278	184	426	596
PUSL1	217	139	328	552
PVR	130	63	249	373
PVRIG	3	1	2	3
PVRL1	29	11	54	98
PVRL2	197	123	352	514
PVRL3	50	34	71	97
PWP1	838	665	1653	2109
PWP2	825	671	1531	2346
PWWP2A	100	87	197	287
PWWP2B	10	10	20	28
PXDN	169	93	392	465
PXK	109	80	183	274
PXMP2	54	54	145	267
PXN	111	81	259	372
PYCR1	108	60	179	252
PYCR2	558	398	1001	1467
PYCRL	92	43	159	216
PYGB	294	224	527	823
PYGL	1069	750	2059	2659
PYGO1	63	47	108	125
PYGO2	101	61	153	248
PYROXD1	209	148	345	409
PYURF	167	169	395	505
QARS	758	564	1539	2362
QDPR	109	62	217	304
QKI	538	389	1039	1559
QPCT	221	161	519	665
QPCTL	54	24	117	154
QPRT	128	103	384	471
QRFPR	27	16	62	68
QRICH1	656	487	1131	1499
QRICH2	8	5	3	12
QRSL1	193	161	473	553
QSER1	415	337	639	881
QSOX1	247	148	485	671
QSOX2	211	145	440	640
QTRT1	177	147	322	586
QTRTD1	251	151	341	533
R3HCC1	27	14	43	93
R3HCC1L	110	79	196	321
R3HDM1	50	44	156	161
R3HDM2	54	33	130	146
R3HDM4	39	39	81	131
RAB10	326	261	620	994
RAB11A	889	596	1584	2396
RAB11B	306	202	677	857
RAB11FIP1	270	181	579	792
RAB11FIP2	79	44	166	204
RAB11FIP3	51	34	56	97
RAB11FIP4	25	17	67	85
RAB11FIP5	38	26	112	174
RAB12	110	88	235	307
RAB13	232	190	480	644
RAB14	337	275	597	889
RAB18	416	295	738	1118
RAB1A	494	393	965	1288
RAB1B	543	407	1142	1526
RAB21	451	312	868	1089
RAB22A	47	28	117	168
RAB23	87	70	156	232
RAB24	130	64	186	290
RAB27A	24	28	52	96
RAB28	29	24	79	106
RAB2A	449	358	861	1006
RAB2B	51	49	102	152
RAB31	102	70	163	252
RAB32	45	31	101	119
RAB33B	36	38	71	91
RAB34	176	144	371	484
RAB35	224	190	501	632
RAB36	77	69	139	158
RAB39A	31	37	76	107
RAB39B	24	10	39	38
RAB3D	43	23	134	149
RAB3GAP1	396	328	774	1055
RAB3GAP2	437	315	736	997
RAB3IP	54	62	194	218
RAB40A	1	0	3	1
RAB40AL	3	0	5	2
RAB40B	19	4	27	44
RAB40C	42	34	62	92
RAB43	26	18	59	92
RAB4A	106	96	246	382
RAB5A	241	180	405	601
RAB5B	253	169	519	668
RAB5C	699	476	1310	1824
RAB6A	278	179	560	633
RAB6C	57	30	92	110
RAB7A	1037	749	1917	2608
RAB7L1	62	32	120	131
RAB8A	439	331	830	1074
RAB8B	68	66	132	219
RAB9A	164	113	343	407
RAB9B	14	8	28	31
RABAC1	313	208	687	1203
RABEP1	357	294	703	826
RABEP2	38	34	60	122
RABEPK	133	87	223	297
RABGAP1	289	220	559	834
RABGAP1L	93	88	166	256
RABGEF1	136	112	216	330
RABGGTA	147	73	222	389
RABGGTB	397	297	841	1226
RABIF	71	61	148	178
RABL2A	29	20	64	82
RABL2B	37	29	72	114
RABL3	103	78	190	238
RABL5	108	72	180	301
RABL6	249	191	713	949
RAC1	1039	731	1964	2797
RAC3	296	194	500	825
RACGAP1	1210	860	1952	2843
RAD1	200	140	403	461
RAD17	60	28	145	173
RAD18	385	297	739	939
RAD21	1357	970	2283	3160
RAD23A	538	387	1240	2044
RAD23B	996	815	2551	3221
RAD50	970	742	2091	2610
RAD51	139	76	258	343
RAD51AP1	412	267	764	989
RAD51B	30	22	70	63
RAD51C	511	374	928	1241
RAD51D	6	11	15	28
RAD52	36	26	55	67
RAD54B	174	141	340	467
RAD54L	208	116	279	406
RAD54L2	95	89	255	379
RAD9A	22	26	41	87
RADIL	33	13	52	74
RAE1	1176	856	1905	2791
RAF1	231	188	519	720
RAI1	128	79	267	357
RAI14	478	364	1234	1591
RALA	168	126	368	579
RALB	74	45	145	242
RALBP1	108	110	302	404
RALGAPA1	209	146	438	488
RALGAPA2	114	61	188	287
RALGAPB	363	264	672	855
RALGDS	59	38	81	155
RALGPS1	5	7	18	31
RALGPS2	73	67	193	256
RALY	320	198	670	910
RAMP1	84	63	192	239
RAN	6004	4553	12602	17937
RANBP1	2327	1615	5100	6900
RANBP10	82	65	135	196
RANBP17	86	65	148	230
RANBP2	2705	1966	4345	6216
RANBP3	475	333	882	1308
RANBP6	295	259	523	659
RANBP9	422	276	940	1223
RANGAP1	1532	1145	2718	4350
RANGRF	63	51	140	197
RAP1A	302	217	738	809
RAP1B	767	635	1743	1957
RAP1GAP	33	26	75	114
RAP1GAP2	98	60	194	276
RAP1GDS1	206	160	444	565
RAP2A	40	32	91	115
RAP2B	64	52	130	193
RAP2C	153	110	282	342
RAPGEF1	105	73	240	325
RAPGEF2	134	106	261	368
RAPGEF4	59	40	121	162
RAPGEF5	48	33	99	141
RAPGEF6	349	249	488	711
RAPH1	140	126	253	323
RARA	39	26	85	105
RARB	49	32	79	115
RARG	14	13	36	52
RARS	1888	1508	3352	4474
RARS2	167	146	323	406
RASA1	223	172	392	500
RASA2	39	36	118	103
RASA3	27	19	72	90
RASA4	12	19	52	53
RASA4B	11	18	51	54
RASAL2	105	96	189	219
RASEF	139	97	265	356
RASGEF1A	2	2	11	10
RASGEF1B	97	51	92	126
RASGRF2	31	20	91	112
RASGRP1	22	23	38	50
RASL11A	114	64	162	280
RASSF1	67	33	80	128
RASSF2	35	20	80	89
RASSF3	101	71	188	248
RASSF7	42	30	74	108
RASSF8	51	34	143	201
RAVER1	864	572	1385	2165
RAVER2	165	124	408	491
RB1	965	715	1870	2443
RB1CC1	153	147	466	537
RBAK	123	94	176	268
RBBP4	2396	1782	5080	6974
RBBP5	259	191	452	601
RBBP6	429	331	714	968
RBBP7	3283	2394	6587	8496
RBBP8	127	96	354	446
RBBP9	151	98	332	398
RBCK1	55	29	94	125
RBFA	95	68	199	242
RBFOX2	309	196	467	744
RBKS	4	5	8	11
RBL1	323	241	659	782
RBL2	153	114	352	422
RBM10	514	393	949	1423
RBM11	31	45	68	79
RBM12	1325	977	1555	2387
RBM12B	241	192	359	552
RBM14	908	614	1344	2325
RBM15	360	245	563	824
RBM15B	98	74	177	242
RBM17	357	316	737	1070
RBM18	59	37	148	196
RBM19	217	154	453	673
RBM20	103	73	175	243
RBM22	679	539	959	1535
RBM23	401	308	626	954
RBM25	901	740	1371	2181
RBM26	390	317	673	1000
RBM27	460	338	970	1248
RBM28	634	491	1044	1678
RBM3	1781	1332	2831	4350
RBM33	201	136	375	471
RBM34	314	259	609	772
RBM38	85	70	192	334
RBM39	1186	845	1842	2895
RBM41	110	78	217	266
RBM42	2090	1438	3405	5180
RBM45	106	92	222	281
RBM48	78	59	116	152
RBM4B	362	283	666	866
RBM5	441	309	608	900
RBM6	192	149	313	355
RBM7	122	83	224	283
RBM8A	942	647	1637	2401
RBMS1	241	160	523	683
RBMS2	45	40	106	120
RBMX	2616	1817	4140	6790
RBMX2	146	132	254	408
RBMXL1	1214	864	1956	3213
RBP1	6	5	22	37
RBPJ	422	309	720	886
RBX1	623	428	1214	1720
RC3H1	101	81	189	203
RC3H2	93	81	239	319
RCAN1	35	31	90	140
RCAN3	67	40	165	220
RCBTB1	69	42	149	201
RCBTB2	34	14	61	96
RCC1	524	335	799	1588
RCC2	1650	1180	2587	4277
RCCD1	52	46	86	142
RCE1	66	37	90	175
RCHY1	154	103	323	344
RCL1	185	152	379	507
RCN1	441	302	801	1356
RCN2	431	282	1074	1378
RCOR1	199	198	368	530
RCOR3	52	46	99	168
RDH10	63	56	139	246
RDH11	362	219	629	955
RDH13	52	55	109	136
RDM1	37	17	97	84
RDX	935	721	1788	2391
RECK	24	10	51	57
RECQL	853	639	1440	1986
RECQL4	147	91	275	341
RECQL5	114	89	183	287
REEP1	24	20	63	75
REEP2	186	136	453	600
REEP3	154	126	342	482
REEP4	205	127	299	527
REEP5	701	516	1396	1977
REL	53	39	114	156
RELA	239	173	489	692
RELL1	74	49	137	191
RELL2	2	0	3	1
RELT	49	26	57	126
REPIN1	143	114	243	380
REPS1	382	309	933	1148
RER1	411	308	876	1246
RERE	460	298	824	1237
REST	371	293	673	934
RETSAT	125	56	231	317
REV1	79	68	141	196
REV3L	166	147	253	336
REXO1	52	33	96	182
REXO2	274	257	649	787
REXO4	253	217	434	711
RFC1	402	310	941	1187
RFC2	470	339	994	1256
RFC3	1615	1140	2714	4086
RFC4	312	288	718	1049
RFC5	584	413	1304	1649
RFESD	22	18	37	55
RFFL	25	26	50	63
RFK	117	80	239	269
RFNG	56	38	118	148
RFT1	178	105	264	456
RFTN1	110	70	217	279
RFWD2	113	82	234	323
RFWD3	550	370	891	1258
RFX1	131	98	275	392
RFX2	8	4	15	30
RFX3	29	27	60	69
RFX5	153	114	205	320
RFX7	104	97	210	296
RFXANK	80	49	154	218
RFXAP	108	92	271	319
RGL1	14	8	31	41
RGL2	30	20	56	90
RGMA	12	5	22	25
RGMB	29	20	51	82
RGP1	63	61	151	225
RGPD1	1866	1341	3062	4342
RGPD3	1152	886	1895	2691
RGPD4	1125	848	1843	2603
RGPD6	2692	2046	4592	6444
RGPD8	1325	1022	2278	3183
RGS10	128	92	379	457
RGS12	40	27	84	78
RGS14	22	15	19	37
RGS16	61	43	117	127
RGS17	0	1	5	8
RGS19	59	36	76	149
RGS2	38	31	49	61
RHBDD1	63	53	78	140
RHBDD2	177	95	267	435
RHBDD3	53	27	105	123
RHBDF1	21	13	67	63
RHBDF2	43	23	91	130
RHBDL1	2	0	0	1
RHEB	524	378	1064	1283
RHNO1	75	63	144	186
RHOA	1488	1156	2535	4243
RHOB	105	64	181	227
RHOBTB1	40	25	79	132
RHOBTB2	20	15	32	56
RHOBTB3	313	238	841	993
RHOC	327	312	799	1090
RHOG	120	73	198	268
RHOQ	23	15	36	46
RHOT1	130	86	344	427
RHOT2	252	171	416	700
RHOU	45	27	71	102
RHPN1	15	8	31	57
RHPN2	437	326	832	1173
RIBC2	20	13	22	25
RIC8A	171	134	301	470
RIC8B	71	63	137	181
RICTOR	305	206	489	624
RIF1	1273	1015	2236	2941
RILPL1	30	41	124	155
RILPL2	31	21	47	90
RIMBP3	34	17	45	79
RIMBP3C	68	30	88	152
RIMKLA	27	8	43	70
RIMKLB	79	66	122	200
RIMS2	12	9	33	33
RIMS4	41	35	112	159
RIN2	0	0	4	3
RIN3	21	16	51	70
RING1	130	98	264	478
RINT1	533	375	1007	1310
RIOK1	428	337	884	1135
RIOK2	393	289	606	831
RIOK3	190	141	324	466
RIPK1	107	86	160	218
RIPK2	62	33	179	186
RIPK4	67	52	132	188
RIT1	100	55	87	153
RLF	328	258	472	693
RLIM	850	635	1517	2109
RLTPR	49	46	118	172
RMDN1	177	123	434	545
RMDN2	4	6	10	17
RMDN3	168	103	289	459
RMI1	92	65	161	215
RMND1	117	90	298	317
RMND5A	417	282	941	1205
RMND5B	113	78	200	305
RNASEH1	83	55	151	244
RNASEH2A	866	634	1581	2386
RNASEH2B	258	185	590	837
RNASEH2C	119	87	253	446
RNASEL	27	21	79	95
RNASET2	123	92	261	372
RND2	140	82	216	302
RND3	137	99	218	307
RNF10	181	146	407	507
RNF103	84	45	140	197
RNF11	44	29	90	141
RNF111	174	108	232	357
RNF113A	125	65	128	233
RNF114	357	239	572	915
RNF115	124	72	250	369
RNF121	78	65	151	241
RNF123	140	88	252	362
RNF125	29	20	51	62
RNF126	209	160	439	598
RNF128	92	53	157	225
RNF13	78	46	154	209
RNF130	60	38	151	219
RNF135	10	9	28	31
RNF138	213	164	523	559
RNF139	104	94	219	324
RNF14	238	153	454	652
RNF141	39	20	84	120
RNF144A	11	8	28	36
RNF145	278	176	462	746
RNF146	61	38	102	163
RNF149	109	86	208	340
RNF150	32	29	46	92
RNF157	12	12	39	39
RNF166	44	28	76	116
RNF167	308	209	469	784
RNF168	80	74	175	248
RNF169	97	77	170	255
RNF170	34	26	59	88
RNF181	199	138	383	518
RNF182	21	13	29	47
RNF185	97	37	140	177
RNF187	308	259	595	1157
RNF19A	96	58	134	232
RNF19B	107	70	204	313
RNF2	220	155	409	545
RNF20	304	245	494	789
RNF213	317	204	482	663
RNF214	135	97	299	407
RNF215	19	16	67	83
RNF216	147	106	368	483
RNF217	7	7	18	28
RNF219	173	149	320	449
RNF220	136	125	335	499
RNF25	229	173	358	513
RNF26	69	37	105	238
RNF31	101	66	138	218
RNF34	212	122	337	484
RNF38	81	62	201	238
RNF4	134	86	273	426
RNF40	757	537	1335	2060
RNF41	90	75	178	281
RNF43	47	37	55	99
RNF5	195	134	309	451
RNF6	194	134	479	624
